ITEM_DESCRIPTION	CATEGORY	SUPPLIER
"red apples, banana,"	Food Beverage and Tobacco Products	PETER GIAMMANCO
INSTANT COFFEE AND BULK	Food Beverage and Tobacco Products	Prison Industry Authority
fire food for camp inmates	Food Beverage and Tobacco Products	US FOODSERVICE
rations food for camp inmates	Food Beverage and Tobacco Products	US FOODSERVICE
"ONIONS, RED  DICED"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
rations food for camp inmates	Food Beverage and Tobacco Products	US FOODSERVICE
food for inmates at camps	Food Beverage and Tobacco Products	US FOODSERVICE
KENSINGTON MIDBACK CHAIRS	Furniture and Furnishings	Prison Industry Authority
"PEN,MICRO,METAL ROLLING,GRN"	"Office Equipment, Accessories and Supplies"	THE PRIMARY SOURCE
"VEGETABLE, YELLOW WAX BEAN"	Food Beverage and Tobacco Products	CSV Sales Inc.
LETTUCE SALAD MIX	Food Beverage and Tobacco Products	COAST CITRUS DISTRIBUTORS
"Pencils, black lead"	"Office Equipment, Accessories and Supplies"	THE OFFICE CITY
CONFERENCE CHAIRS	Furniture and Furnishings	Prison Industry Authority
food for inmate camps	Food Beverage and Tobacco Products	US Foodservice
FOOD FOR INMATE CAMPS	Food Beverage and Tobacco Products	US Foodservice
"Reference Table - No Drawers, Nepal Teak"	Furniture and Furnishings	3B INDUSTRIES INC
Batching Invoices	Food Beverage and Tobacco Products	US Foodservice
chairs and desk for inmate fire camps	Furniture and Furnishings	Prison Industry Authority
"TASK CHAIRS, PIA"	Furniture and Furnishings	Prison Industry Authority
~HIGH COLLAPSIBLE DIRECTOR CHAIRS	Furniture and Furnishings	Unknown
Invoice batching	Food Beverage and Tobacco Products	US Foodservice
VARIOUS FRUIT & VEGGIES	Food Beverage and Tobacco Products	HDR DISTRIBUTING CO.
bold white  pink	"Office Equipment, Accessories and Supplies"	"Bay Medical Co., Inc"
Invoice batching	Food Beverage and Tobacco Products	US Foodservice
"POTATOES, RED B'S"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
"CARROTS, SHREDDED"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
Manhattan Mid Back Chair	Furniture and Furnishings	3B INDUSTRIES INC
"bananas, petite, 150ct"	Food Beverage and Tobacco Products	PRO PACIFIC FRESH
mushrooms US#1 medium	Food Beverage and Tobacco Products	Bonanza Produce
"ONIONS, RED DICED"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
"Nesting Table 40"""	Furniture and Furnishings	Newood Display Fisture
